cluster,lang,mapped_product,predict_product,product_name,question,subproduct_id,subproduct_name,verification
Cards,ru,Cards,Cards,Карты,Как установить ПИН-код для карты #juniorcard в BCC.KZ?,7,JuniorBank,1
Cards,ru,Cards,Cards,Карты,Сколько стоит годовое обслуживание карты #GoldCard?,44,GoldCard,1
Ipoteka,ru,Credits,Ipoteka,Кредиты,Есть ли возрастные ограничения по #Ипотеке/Ипотеке+?,21,Ipoteka,0
Cards,ru,Cards,Cards,Карты,Какова география использования карты #GoldCard?,44,GoldCard,1
Cards,ru,Cards,Cards,Карты,Какой вид карты у #GoldCard?,44,GoldCard,1
Cards,ru,Cards,Cards,Карты,Как происходит дистанционное обслуживание карты #GoldCard?,44,GoldCard,1
Ipoteka,ru,Credits,Ipoteka,Кредиты,Какое жилье можно купить через #Ипотеку/Ипотеку+?,21,Ipoteka,0
Others,ru,Credits,Zalogovoe,Кредиты,Какие исключения могут быть при подаче заявки на кредит под залог недвижимости?,31,Zalog_nedvizhimosti,0
Deposits,ru,Deposits,Deposits,Депозиты,Застрахован ли мой депозит?,10,Deposits_Common,1
Deposits,ru,Deposits,Deposits,Депозиты,Есть ли гарантийное возмещение по депозиту?,10,Deposits_Common,1
Cards,ru,Cards,Cards,Карты,Какие документы нужны для получения card #DragonCard для физических лиц старше 18 лет?,52,DragonCard,1
Cards,ru,Cards,Cards,Карты,Как получить подписку Пакеты услуг бесплатно?,1233,Pakety_uslug,1
Cards,ru,Cards,Cards,Карты,"Как увеличен лимит на переводы без комиссии по Пакету услуг ""стандарт""?",1233,Pakety_uslug,1
Ipoteka,ru,Credits,Ipoteka,Кредиты,Каковы требования по первоначальному взносу для #Ипотеки?,21,Ipoteka,0
BCC_KZ,ru,Transfers,Transfers,Переводы,Какой максимальный лимит по сумме на отправку разового перевода SWIFT в мобильном приложении BCC.KZ?,13,Swift,1
Cards,ru,Transfers,Cards,Переводы,Какова комиссия при переводе между своими счетами с карты #үлкенгеқұрмет?,16,AccountTransfers,0
Cards,ru,Cards,Cards,Карты,Какова комиссия за снятие наличных в банкоматах с карты #DragonCard?,52,DragonCard,1
Cards,ru,Cards,Cards,Карты,Сколько времени выпускается карта #blackedition?,0,BlackEdition,1
Cards,ru,Cards,Cards,Карты,"Какое увеличение лимита на снятие наличных без комиссии предоставлено по Пакету услуг ""стандарт""?",1233,Pakety_uslug,1
Cards,ru,Cards,Cards,Карты,Каковы тарифы по переводам по карте #IronCard?,3,IronCard,1
Cards,ru,Cards,Cards,Карты,"Каковы тарифы на переводы и платежи через банкоматы, ИПТ, международные переводы с картой #IronCard?",3,IronCard,1
Cards,ru,Cards,Cards,Карты,Как установить пин-код для карты #Үлкенгеқұрмет через СМС?,8,UlkengeKurmet,1
Transfers,ru,Transfers,Transfers,Переводы,"Какие условия и преимущества переводов с карты на карту, и сколько времени занимает зачисление средств?",53,CardTransfers,1
Transfers,ru,Transfers,Transfers,Переводы,Как перевести деньги в другой банк?,53,CardTransfers,1
Transfers,ru,Transfers,Transfers,Переводы,Как перевести деньги на карту другого банка?,53,CardTransfers,1
Ipoteka,ru,Credits,Ipoteka,Кредиты,Как оформить #Ипотеку ДДУ?,22,Ipoteka_DDU,0
Transfers,ru,Transfers,Transfers,Переводы,Каковы условия перевода в Узбекистан?,42,UzbekistanTransfers,1
Cards,ru,Cards,Cards,Карты,"Какова стоимость Пакета услуг ""Comfort"" при выполнении критериев бесплатности?",1233,Pakety_uslug,1
Transfers,ru,Transfers,Transfers,Переводы,Каковы условия Системы Мгновенных Переводов по номеру телефона?,17,MobileTransfers,1
Cards,ru,Cards,Cards,Карты,Каковы тарифы на снятие наличных для карты #blackedition?,0,BlackEdition,1
BCC_KZ,ru,Transfers,Cards,Переводы,Какова комиссия за перевод в другой банк РК по номеру телефона в мобильном приложении BCC.KZ по карте #картакарта?,17,MobileTransfers,0
Cards,ru,Cards,Cards,Карты,Какие документы необходимы для открытия карты #картакарта?,4,CardCard,1
Avtokredit,ru,Credits,Avtokredit,Кредиты,"Какие условия для получения ""Нового авто в автосалоне""?",27,Avto_avtosalon,0
Ipoteka,ru,Credits,Ipoteka,Кредиты,Какие требования к материалам стен для квартир по онлайн ипотеке?,28,Online_ipoteka,0
Cards,ru,Cards,Cards,Карты,Какие преимущества карты #IronCard?,3,IronCard,1
Cards,ru,Cards,Cards,Карты,Каковы лимиты по карте #juniorcard?,7,JuniorBank,1
Cards,ru,Savings,Savings,Сбережения,Какая комиссия взимается при пополнении или снятии со счёта наличными в долларах?,20,Accounts,1
Transfers,ru,Transfers,Transfers,Переводы,Почему перевод по номеру телефона в обработке и не дошел?,17,MobileTransfers,1
BCC_KZ,ru,Transfers,Transfers,Переводы,Как перевести деньги по номеру телефона в приложении bcc.kz?,17,MobileTransfers,1
Transfers,ru,Transfers,Transfers,Переводы,Есть ли комиссии при переводе по номеру телефона другому клиенту внутри банка?,17,MobileTransfers,1
Ipoteka,ru,Credits,Ipoteka,Кредиты,"Как погасить задолженность продавца, если недвижимость в залоге по ипотеке?",21,Ipoteka,0
Transfers,ru,Transfers,Transfers,Переводы,Какие страны доступны для переводов с помощью VISA ALIAS?,17,MobileTransfers,1
Transfers,ru,Transfers,Transfers,Переводы,Где посмотреть список стран для переводов по номеру телефона?,17,MobileTransfers,1
Cards,ru,Transfers,Transfers,Переводы,Какая комиссия при переводе по номеру телефона в Банк другой страны по карте #bccpay?,17,MobileTransfers,1
Cards,ru,Cards,Cards,Карты,Как установить PIN-код для карты #BlackEdition через SMS?,0,BlackEdition,1
Cards,ru,Cards,Cards,Карты,Как подключить Пакеты услуг?,1233,Pakety_uslug,1
Cards,ru,Cards,Cards,Карты,Какой пробный период доступен по Пакетам услуг?,1233,Pakety_uslug,1
Cards,ru,Cards,Cards,Карты,"Какую скидку на страховые услуги предоставляет Пакет услуг ""стандарт""?",1233,Pakety_uslug,1
Cards,ru,Cards,Cards,Карты,Какова стоимость годового обслуживания карты #bccblack?,1,BccBlack,1
Cards,ru,Cards,Cards,Карты,Какие действия необходимо выполнить для блокировки карты #BlackEdition?,0,BlackEdition,1
Others,ru,Credits,Zalogovoe,Кредиты,Как работает страхование имущества при кредите под залог недвижимости?,31,Zalog_nedvizhimosti,0
Ipoteka,ru,Credits,Ipoteka,Кредиты,Какая должна быть площадь таунхаусов для #Ипотеки/Ипотеки+?,21,Ipoteka,0
Cards,ru,Transfers,Transfers,Переводы,Каковы тарифы на переводы по номеру телефона для карты #ironcard внутри банка?,17,MobileTransfers,1
Deposits,ru,Deposits,Deposits,Депозиты,"Какие ставки по депозиту ""Чемпион"" в рублях?",9,Champion,1
Ipoteka,ru,Credits,Ipoteka,Кредиты,Допускаются ли квартиры с материалом стен шлак/шлакоблок/шлакобетон по #Ипотеке?,21,Ipoteka,0
Cards,ru,Cards,Cards,Карты,Где можно открыть монокарту?,54,bccpay_2_0,1
Deposits,ru,Deposits,Deposits,Депозиты,Когда начисляются проценты по депозиту Рахмет?,11,Rakhmet,1
BCC_KZ,ru,Cards,Cards,Карты,Как быстро заблокировать карту #BlackEdition в системе BCC.KZ?,0,BlackEdition,1
Cards,ru,Cards,Cards,Карты,Каков срок действия карты #blackedition для иностранных граждан?,0,BlackEdition,1
Deposits,ru,Deposits,Deposits,Депозиты,Как пополнить депозит Рахмет?,11,Rakhmet,1
Deposits,ru,Deposits,Deposits,Депозиты,Как открыть депозит ребенку?,10,Deposits_Common,1
Cards,ru,Transfers,Transfers,Переводы,Какая комиссия на использование кредитных денег при переводах по номеру телефона с карты #картакарта?,17,MobileTransfers,1
Deposits,ru,Deposits,Deposits,Депозиты,Какой вид депозита у вклада Чемпион?,9,Champion,1
Cards,ru,Cards,Cards,Карты,Сколько стоит закрытие карты #IronCard?,3,IronCard,1
Cards,ru,Cards,Cards,Карты,"Какова стоимость Пакета услуг ""стандарт"" при выполнении критериев бесплатности?",1233,Pakety_uslug,1
Deposits,ru,Deposits,Deposits,Депозиты,Может ли третье лицо распоряжаться депозитом ребенка?,10,Deposits_Common,1
Cards,ru,Cards,Cards,Карты,"Какое снижение комиссии на использование кредитного лимита доступно по Пакету услуг ""стандарт""?",1233,Pakety_uslug,1
Deposits,ru,Deposits,Deposits,Депозиты,Могут ли дети распоряжаться своим депозитом?,10,Deposits_Common,1
Deposits,ru,Deposits,Deposits,Депозиты,Какая минимальная сумма мне нужна чтобы открыть депозит Рахмет?,11,Rakhmet,1
Deposits,ru,Deposits,Deposits,Депозиты,Как происходит частичное изъятие с депозита Рахмет?,11,Rakhmet,1
BCC_KZ,ru,Transfers,Transfers,Переводы,Как перевести за границу по номеру телефона через приложение?,17,MobileTransfers,1
Cards,ru,Transfers,Transfers,Переводы,Каковы лимиты переводов по номеру телефона внутри банка?,17,MobileTransfers,1
Cards,ru,Savings,Savings,Сбережения,Какая комиссия взимается при пополнении или снятии со счёта наличными в рублях?,20,Accounts,1
Deposits,ru,Deposits,Deposits,Депозиты,На какой срок открывается депозит Рахмет?,11,Rakhmet,1
Deposits,ru,Deposits,Deposits,Депозиты,Может ли третье лицо открыть вклад ребенку?,10,Deposits_Common,1
Cards,ru,Cards,Cards,Карты,Каковы тарифы на снятие наличных в кассе другого банка по карте #үлкенгеқұрмет?,8,UlkengeKurmet,1
Cards,ru,Cards,Cards,Карты,Какие документы необходимы для получения карты #IronCard?,3,IronCard,1
Cards,ru,Cards,Cards,Карты,Какие преимущества дают Пакеты услуг?,1233,Pakety_uslug,1
Cards,ru,Transfers,Cards,Переводы,Какая комиссия при переводе на карту в зарубежный банк с использованием личных денег для карты #картакарта?,17,MobileTransfers,0
Deposits,ru,Deposits,Deposits,Депозиты,"Какие ставки по депозиту ""Чемпион"" в долларах США?",9,Champion,1
Transfers,ru,Transfers,Transfers,Переводы,В каких банках РК можно использовать VISA ALIAS для переводов?,17,MobileTransfers,1
Transfers,ru,Transfers,Transfers,Переводы,Как работает перевод по номеру телефона с помощью VISA ALIAS?,17,MobileTransfers,1
Others,ru,Savings,Savings,Сбережения,Как обменять валюту в FX-обменнике?,43,FX_exchanger,1
Cards,ru,Transfers,Transfers,Переводы,Какая комиссия за перевод по номеру телефона с карты #travelcard внутри банка?,17,MobileTransfers,1
Cards,ru,Transfers,Cards,Переводы,Каковы условия перевода на карту зарубежного банка для карты #картакарта?,17,MobileTransfers,0
Transfers,ru,Transfers,Transfers,Переводы,Каковы условия переводов по номеру телефона внутри банка?,17,MobileTransfers,1
Cards,ru,Transfers,Transfers,Переводы,Каковы лимиты переводов по номеру телефона в другой банк РК(СМП)?,17,MobileTransfers,1
BCC_KZ,ru,Savings,Transfers,Сбережения,Какова комиссия за перевод в тенге в другой банк РК через BCC.KZ?,20,Accounts,0
Cards,ru,Cards,Cards,Карты,Могут ли иностранные граждане открыть карту #картакарта?,4,CardCard,1
Others,ru,Savings,Savings,Сбережения,Когда можно конвертировать в FX-обменнике?,43,FX_exchanger,1
Transfers,ru,Transfers,Transfers,Переводы,Каковы особенности сервиса переводов Золотая корона?,15,Koronapay,1
Transfers,ru,Transfers,Transfers,Переводы,"Какие есть способы осуществления переводов ""Золотая Корона""?",15,Koronapay,1
BCC_KZ,ru,Transfers,Cards,Переводы,Какова комиссия за переводы на счет в другой банк Казахстана с карты #bccpay?,16,AccountTransfers,0
BCC_KZ,ru,Transfers,Transfers,Переводы,Можно ли отправить перевод «Золотая Корона» с карточного счета через мобильное приложение?,15,Koronapay,1
Cards,ru,Cards,Cards,Карты,Какие шаги необходимо выполнить для блокировки карты #IronCard?,3,IronCard,1
BCC_KZ,ru,Cards,Cards,Карты,Как заблокировать карту #IronCard в приложении BCC.KZ?,3,IronCard,1
Others,ru,Savings,Savings,Сбережения,Как работает отложенный ордер в FX-обменнике?,43,FX_exchanger,1
Transfers,ru,Transfers,Transfers,Переводы,Как быстро поступает перевод Золотая корона?,15,Koronapay,1
Others,ru,Transfers,Transfers,Переводы,Какие специальные тарифы предлагает Золотая Корона?,15,Koronapay,1
Cards,ru,Cards,Cards,Карты,Сколько стоит визит в бизнес-залы с картой #IronCard?,3,IronCard,1
Ipoteka,ru,Credits,Ipoteka,Кредиты,Как рассчитываться с продавцом по вторичному рынку по #Ипотеку/Ипотеку+?,21,Ipoteka,0
Others,ru,Savings,Savings,Сбережения,"Какая комиссия за перевод в пользу АО ""BCC Invest""?",20,Accounts,1
Transfers,ru,Transfers,Transfers,Переводы,В какой валюте можно получить перевод через Western Union?,14,WesternUnion,1
Others,ru,Savings,Cards,Сбережения,Каковы комиссии за приём и выдачу наличных средств?,20,Accounts,0
Cards,ru,Cards,Cards,Карты,"Каков льготный период по карте #картакарта в рамках Пакета услуг ""premium""?",1233,Pakety_uslug,1
Others,ru,Cards,Cards,Карты,В каком отделении я могу получить свою новую карту?,2,Cards_Common,1
Ipoteka,ru,Credits,Ipoteka,Кредиты,По какой причине могут не принять жилье в залог при оформлении #Ипотеки/#Ипотеки+?,21,Ipoteka,0
Others,ru,Credits,Ipoteka,Кредиты,Что можно сделать если у меня не хватает на первоначальный взнос?,21,Ipoteka,0
Ipoteka,ru,Credits,Ipoteka,Кредиты,Какие сроки кредитования по #Ипотеке/Ипотеке+?,21,Ipoteka,0
Cards,ru,Cards,Cards,Карты,Каков срок действия карты #IronCard для иностранных граждан?,3,IronCard,1
Ipoteka,ru,Credits,Ipoteka,Кредиты,Что нужно для предварительного одобрения #Ипотеки/Ипотеки+?,21,Ipoteka,0
Ipoteka,ru,Credits,Ipoteka,Кредиты,Есть ли ограничения по местам где можно получить #Ипотеку/Ипотеку+?,21,Ipoteka,0
Cards,ru,Cards,Cards,Карты,Каков срок закрытия карты #IronCard через отделение банка?,3,IronCard,1
Cards,ru,Cards,Cards,Карты,Как установить PIN код для карты #IronCard через СМС?,3,IronCard,1
Cards,ru,Cards,Cards,Карты,Как получить доступ к лаундж-залам с картой #IronCard?,3,IronCard,1
Deposits,ru,Deposits,Deposits,Депозиты,Как закрыть депозит Рахмет?,11,Rakhmet,1
Ipoteka,ru,Credits,Ipoteka,Кредиты,Есть ли возрастные ограничения по #Ипотеке ДДУ?,22,Ipoteka_DDU,0
Others,ru,Credits,Zalogovoe,Кредиты,"Что делать, если не совпадает кадастровый номер для кредита под залог недвижимости?",31,Zalog_nedvizhimosti,0
Others,ru,Payments,Other,Платежи,как подтвердить то что платеж прошел успешно?,148,Payments_Common,0
Cards,ru,Cards,Cards,Карты,Как установить PIN код для карты #IronCard через BCC.KZ?,3,IronCard,1
Others,ru,Credits,Zalogovoe,Кредиты,Сколько минимум можно взять по кредиту под заклад денег?,29,Zaklad_deneg,0
Others,ru,Credits,Zalogovoe,Кредиты,"Что делать, если при оформлении кредита под залог недвижимости нотариус выдает дубликат документа?",31,Zalog_nedvizhimosti,0
Credits,ru,Credits,Credits,Кредиты,Я могу рефинансировать несколько беззалоговых займов при внутреннем рефинансировании?,33,Refinancing,1
Others,ru,Credits,Zalogovoe,Кредиты,Зачем нужен кредит под залог недвижимости?,31,Zalog_nedvizhimosti,0
Cards,ru,Cards,Cards,Карты,В каком разделе приложения расположена функция блокировки карты #IronCard?,3,IronCard,1
Cards,ru,Cards,Cards,Карты,Сроки поступления кэшбека какие?,2,Cards_Common,1
Others,ru,Credits,Credits,Кредиты,"У меня просрочка платежей при внутреннем рефинансировании, какие штрафы за это будут?",33,Refinancing,1
Cards,ru,Cards,Cards,Карты,Какие требования для перевыпуска детской карты #juniorcard?,7,JuniorBank,1
Cards,ru,Cards,Cards,Карты,Каковы лимиты на переводы с карты на карту для карты #juniorcard?,7,JuniorBank,1
Others,ru,Credits,Zalogovoe,Кредиты,"Что нужно, чтобы получить выплату по титульной страховке при кредите под залог?",31,Zalog_nedvizhimosti,0
BCC_KZ,ru,Payments,BCC_KZ,Платежи,Как мне найти мой город в приложении?,148,Payments_Common,0
Cards,ru,Cards,Cards,Карты,"Каковы лимиты по карте #JuniorCard на покупки, снятие наличных в кассах банков и оплату в интернете?",7,JuniorBank,1
Cards,ru,Cards,Cards,Карты,Что такое зарплатный проект в #bccpay?,54,bccpay_2_0,1
Cards,ru,Cards,Cards,Карты,Какая процентная ставка / вознаграждение по карте #картакарта вне льготного периода?,4,CardCard,1
Transfers,ru,Transfers,Transfers,Переводы,Как перевести деньги с России на свой счет?,13,Swift,1
Others,ru,Credits,Zalogovoe,Кредиты,На сколько времени дают кредит под заклад денег?,29,Zaklad_deneg,0
Ipoteka,ru,Credits,Ipoteka,Кредиты,Кто может получить #Ипотеку?,21,Ipoteka,0
Cards,ru,Cards,Cards,Карты,Каковы лимиты по карте #картакарта?,4,CardCard,1
BCC_KZ,ru,Payments,BCC_KZ,Платежи,Не могу отменить автоплатеж в приложении?,148,Payments_Common,0
Others,ru,Credits,Credits,Кредиты,Какие комиссии при внешнем рефинансировании?,33,Refinancing,1
Cards,ru,Cards,Cards,Карты,Можно ли взять рассрочку по карте #bccpay?,54,bccpay_2_0,1
Others,ru,Credits,Zalogovoe,Кредиты,Какие аресты и ограничения устанавливает банк при кредите под залог недвижимости?,31,Zalog_nedvizhimosti,0
Ipoteka,ru,Credits,Ipoteka,Кредиты,Какие строительные материалы не подходят для использования по программе #Ипотека?,21,Ipoteka,0
Cards,ru,Cards,Cards,Карты,"Какова скидка на покупку золотых слитков по Пакету услуг ""premium""?",1233,Pakety_uslug,1
Transfers,ru,Transfers,Transfers,Переводы,Как осуществляется возврат переводов Western Union?,14,WesternUnion,1
Deposits,ru,Deposits,Deposits,Депозиты,"Какие ставки по депозиту ""Чемпион"" в тенге?",9,Champion,1
Others,ru,Credits,Credits,Кредиты,Можно у вас рефинансировать микрозаймы?,33,Refinancing,1
Others,ru,Credits,Zalogovoe,Кредиты,Условия кредита под заклад денег?,29,Zaklad_deneg,0
Ipoteka,ru,Credits,Ipoteka,Кредиты,Где можно оформить #Ипотеку ДДУ?,22,Ipoteka_DDU,0
Others,ru,Credits,Zalogovoe,Кредиты,Кто возмещает ущерб от арендатора при кредите под залог недвижимости?,31,Zalog_nedvizhimosti,0
Others,ru,Credits,Zalogovoe,Кредиты,"Сколько времени нужно, чтобы оформить кредит под заклад денег?",29,Zaklad_deneg,0
Ipoteka,ru,Credits,Ipoteka,Кредиты,Какие требования для оформления #Ипотеки ДДУ?,22,Ipoteka_DDU,0
Ipoteka,ru,Credits,Ipoteka,Кредиты,Какие сроки кредитования по Онлайн ипотеке?,28,Online_ipoteka,0
Others,ru,Credits,Zalogovoe,Кредиты,Нужен ли гарант для кредита 'Под залог недвижимости'?,31,Zalog_nedvizhimosti,0
Cards,ru,Cards,Cards,Карты,Как снимать деньги без карты?,2,Cards_Common,1
Cards,ru,Cards,Cards,Карты,Каковы лимиты снятия наличных по карте #juniorcard в банкоматах?,7,JuniorBank,1
Others,ru,Cards,Cards,Карты,Чем зарплатный проект в АО 'Банк ЦентрКредит' лучше других?,54,bccpay_2_0,1
Cards,ru,Cards,Cards,Карты,"Каковы условия аренды сейфовых ячеек по Пакету услуг ""premium""?",1233,Pakety_uslug,1
Others,ru,Credits,Zalogovoe,Кредиты,Кто может быть залогодателем при кредите под заклад денег?,29,Zaklad_deneg,0
Cards,ru,Payments,Payments,Платежи,Начисляется ли кешбэк при оплате платежей через приложение?,148,Payments_Common,1
Cards,ru,Cards,Cards,Карты,Каков лимит на снятие наличных в банкоматах для карты #картакарта?,4,CardCard,1
Cards,ru,Cards,Cards,Карты,Как установить PIN-код на карту #картакарта через SMS?,4,CardCard,1
Others,ru,Credits,Ipoteka,Кредиты,Хочу сделать перепланировку. Нужно ли разрешение от банка?,147,Credits_Common,0
Cards,ru,Cards,Cards,Карты,Как пополнить карту юанями?,2,Cards_Common,1
Cards,ru,Cards,Cards,Карты,Предусмотрены ли какие либо программы страхования по карте #bccpay?,54,bccpay_2_0,1
Cards,ru,Cards,Cards,Карты,"Какой повышенный кэшбэк предоставляется по Пакету услуг ""стандарт""?",1233,Pakety_uslug,1
Cards,ru,Cards,Cards,Карты,"Как получить карту #GoldCard, если являюсь резидентом или нерезидентом?",44,GoldCard,1
Others,ru,Credits,Zalogovoe,Кредиты,"Какие документы нужны для кредита ""Под заклад денег""?",29,Zaklad_deneg,0
Others,ru,Credits,Zalogovoe,Кредиты,Как подать заявку на кредит под залог недвижимости?,31,Zalog_nedvizhimosti,0
BCC_KZ,ru,Payments,Payments,Платежи,Как купить авиабилеты через приложение?,148,Payments_Common,1
Others,ru,Credits,Credits,Кредиты,Что такое рефинансирование?,33,Refinancing,1
Cards,ru,Cards,Cards,Карты,Как пополнить карту #GoldCard в терминалах?,44,GoldCard,1
Avtokredit,ru,Credits,Avtokredit,Кредиты,Как узнать что мне отказали в выплате страхования по  автокредиту на авто с пробегом через автосалон?,23,Avtokredit_probeg_avtosalon,0
Credits,ru,Credits,Zalogovoe,Кредиты,"Можно ли вернуть часть страховки, если закрыл кредит под залог раньше срока?",31,Zalog_nedvizhimosti,0
Cards,ru,Cards,Cards,Карты,Как пополнить карту #GoldCard в отделениях Банка ЦентрКредит?,44,GoldCard,1
Cards,ru,Cards,Cards,Карты,срок действие карты истек,2,Cards_Common,1
Others,ru,Credits,Credits,Кредиты,"Что нужно, чтобы подтвердить доход для кредита наличными?",25,Kredit_nalichnymi,1
Cards,ru,Credits,Credits,Кредиты,Можно ли снять деньги с кредита наличными без комиссии?,25,Kredit_nalichnymi,1
Others,ru,Credits,Zalogovoe,Кредиты,Что можно предоставить в залог для кредита под залог недвижимости?,31,Zalog_nedvizhimosti,0
Others,ru,Credits,Zalogovoe,Кредиты,"Как подтвердить, женат(а) я или нет для кредита под заклад денег?",29,Zaklad_deneg,0
Cards,ru,Cards,Cards,Карты,Как пополнить карту #GoldCard через банкоматы?,44,GoldCard,1
Cards,ru,Cards,Cards,Карты,Какой срок закрытия карты #GoldCard?,44,GoldCard,1
Others,ru,Credits,Zalogovoe,Кредиты,Какие проценты по кредиту под заклад денег?,29,Zaklad_deneg,0
Deposits,ru,Deposits,Deposits,Депозиты,Когда начисляются вознаграждения по депозиту Рахмет?,11,Rakhmet,1
Cards,ru,Cards,Cards,Карты,Как закрыть карту #GoldCard?,44,GoldCard,1
Cards,ru,Cards,Cards,Карты,Какие документы необходимы для получения карты #GoldCard?,44,GoldCard,1
Cards,ru,Cards,Cards,Карты,Какая максимальная сумма кэшбэка в месяц по карте #bccpay?,54,bccpay_2_0,1
Credits,ru,Credits,Ipoteka,Кредиты,Как получить средства ЕНПФ для частичного/ полного досрочного погашения ипотеки?,22,Ipoteka_DDU,0
Others,ru,Payments,Transfers,Платежи,"Я за границей без доступа к SMS, как мне подтвердить перевод?",148,Payments_Common,0
Cards,ru,Cards,Cards,Карты,Как подключить зарплатный проект по#bccpay,54,bccpay_2_0,1
Transfers,ru,Transfers,Transfers,Переводы,Каковы условия переводов Western Union?,14,WesternUnion,1
Transfers,ru,Transfers,Transfers,Переводы,Какой срок хранения перевода Western Union в системе?,14,WesternUnion,1
